id,x,y,z,x_transformed,y_transformed,z_transformed
333,28.6662,-0.798231,1.93646,1.1856401843602526,29.290231760940827,0.16074753439534173
334,28.6413,-0.40766,1.99559,0.7965100309206773,29.276374863950583,0.23179528616057718
335,28.5618,-0.572921,1.76597,0.9540710719906027,29.178379502251413,0.003917643678016142
336,34.5748,-0.477262,2.36039,0.970208788222098,35.21875252821939,0.18360643563316184
337,34.5782,-0.708293,2.19234,1.1965244447613022,35.20651100035916,0.009655137673427211
338,34.6778,-0.318914,2.15915,0.8080033206377987,35.310480135034055,-0.020001175073838584
339,34.5402,-0.510126,1.97044,0.9917137874572917,35.156880447045666,-0.2037533268294956
340,40.8268,-0.400373,2.66186,1.0007856909034507,41.47707508628751,0.054130988466130625
341,40.5752,-0.450303,2.52585,1.0429381181700832,41.215884422414995,-0.06543863552493928
342,40.8135,-0.127623,2.60651,0.7264315845183635,41.46484038056548,0.007086208888206352
343,40.5855,-0.179755,2.42027,0.7697685233682796,41.22370211158727,-0.16426526612532039
344,48.8884,-0.262412,3.03095,1.0008720383133918,49.54616689497671,-0.13137534864961226
345,48.9625,-0.445763,2.81097,1.179214973420548,49.60172624556541,-0.36073653904704406
346,49.0721,-0.0709232,2.89518,0.8086338004581417,49.723474169932864,-0.27439189866872304
347,48.9634,-0.195931,2.64931,0.9250495546971478,49.59594968088973,-0.5153889397710759
348,52.9973,-0.0819409,3.32434,0.8937319353814854,53.668065662942034,-0.11802375605134358
349,52.9828,-0.284173,3.12308,1.090060401925341,53.63619900924651,-0.32309279193242846
350,53.0393,0.109734,3.12151,0.6972057822040478,53.69942815370639,-0.31811658820767974
351,52.8483,-0.065845,2.96366,0.8652991318229412,53.49495897825912,-0.4669876392781057
352,58.3737,0.104151,3.36574,0.7940861323142671,59.03706923584688,-0.4434349779102218
353,58.4261,-0.173648,3.41261,1.0738715993813195,59.087633739037784,-0.4076835480629024
354,58.663,0.149648,3.39044,0.7538808256395261,59.328143051295584,-0.43759337844378443
355,58.6633,-0.0957309,3.55318,1.0036443225351033,59.33526965522152,-0.28182878265839484
356,64.3471,0.185526,3.7614,0.8183712596372613,65.0240405183603,-0.459602265116585
357,64.4365,-0.0717664,3.66442,1.0742651258901696,65.10199737058925,-0.5693197108690848
358,64.6095,0.286553,3.68222,0.719362464082822,65.28213275038783,-0.55402337133181
359,64.5673,0.0914198,3.45496,0.9074369636244157,65.22097625942608,-0.7829180623529511
360,70.4017,0.252979,3.97681,0.8528687890061665,71.07938336380113,-0.6615068959329934
361,70.4731,-0.0228362,3.88342,1.1270901381247007,71.13930386689154,-0.7668912479405084
362,70.6721,0.317238,3.88926,0.7905043857366192,71.34422925459276,-0.7658031898106948
363,70.6106,0.125487,3.66731,0.9750395212866447,71.26424590639017,-0.9879786750894229
