id,x,y,z,x_transformed,y_transformed
212,7.37795,1.22151,1.11996,-1.1942518200191297,8.080242273096694
213,7.14058,1.05321,1.06891,-1.0300353005799874,7.840029155962566
214,7.51249,1.09423,0.898777,-1.0646898814947252,8.212586196590742
215,7.32665,0.869982,0.945724,-0.8436524120621637,8.022938870717558
216,13.3302,1.26313,1.27722,-1.1340860887640734,14.032333701467275
217,13.3922,0.99522,1.25924,-0.865155098343672,14.089743548109661
218,13.574,1.3318,1.1465,-1.1985772257124314,14.277272269592238
219,13.6769,1.07502,1.2728,-0.9400752443427667,14.375766452303493
220,19.3296,1.29532,1.54105,-1.0636855015484614,20.031406989352636
221,19.4517,1.05491,1.56198,-0.8212228191584432,20.14937828140387
222,19.5638,1.44237,1.61076,-1.2067093327981329,20.26808720862469
223,19.7112,1.18451,1.59149,-0.9463665879541515,20.41105641792201
224,25.3151,1.44801,1.89557,-1.1140049777267076,26.01864278197156
225,25.3993,1.19053,1.89504,-0.8551228566715523,26.098427729160765
226,25.5258,1.53016,1.71966,-1.192540132544293,26.230716688800708
227,25.6708,1.28684,1.8228,-0.9467763003403405,26.371534873636428
228,31.3315,1.52984,2.05466,-1.0929464438456047,32.035562396446295
229,31.4977,1.31232,2.10368,-0.8726163331975852,32.198018645146774
230,31.5585,1.70838,2.05707,-1.2675787864782349,32.26558212713616
231,31.7331,1.46507,2.07426,-1.0213188118524321,32.43599615530667
232,37.2515,1.6399,2.24859,-1.101762160596856,37.956578819894055
233,37.4164,1.41985,2.30239,-0.8789246490104738,38.117691997288055
234,37.4321,1.81438,2.3896,-1.2731285069737277,38.14013591109307
235,37.6386,1.60272,2.34707,-1.0579684354892034,38.34298646997515
236,43.3757,1.81809,2.84014,-1.1752062277743023,44.082930367519815
237,43.3714,1.52735,2.82776,-0.8845822625594737,44.07365952921844
238,43.4333,1.80656,2.55938,-1.162692990565554,44.14032479054642
239,43.5974,1.56013,2.64809,-0.9134930153442556,44.3001870038731
240,48.6633,1.76592,2.8533,-1.0326292965209534,49.36886522216703
241,48.8734,1.58301,2.89486,-0.8461534639673333,49.57580686121881
242,48.8492,1.97618,2.78798,-1.2396797851032932,49.55833335346572
243,49.0694,1.78571,2.8423,-1.0454723543539421,49.77524424471311
244,52.6664,1.88496,3.00168,-1.0832014573084123,53.37341545760588
245,52.8734,1.71544,3.06359,-0.9101666750799383,53.577486510279066
