time,x,y,z,roll,pitch,yaw
1767717766.110876,110.467682,0.626441,0.680836,-0.001148,0.013246,-0.023491
1767717766.247560,110.647148,0.624369,0.729455,-0.003644,0.021832,-0.028359
1767717766.380160,110.905174,0.654470,0.732941,-0.005465,0.022466,-0.031843
1767717766.524667,111.038376,0.629903,0.694955,-0.007945,0.007991,-0.033791
1767717766.671242,111.207787,0.637925,0.688881,-0.001909,0.023957,-0.031763
1767717766.830975,111.493019,0.619210,0.711109,-0.003152,0.016292,-0.036506
1767717766.995296,111.758102,0.628801,0.744367,-0.001943,0.013423,-0.033629
1767717767.145890,111.892601,0.606993,0.702293,0.000265,0.013558,-0.036901
1767717767.293869,112.202698,0.601860,0.673534,-0.000172,0.003729,-0.042403
1767717767.440661,112.340630,0.608143,0.704728,-0.000111,0.021682,-0.043443
1767717767.587806,112.451065,0.607128,0.788300,0.001862,0.013801,-0.044235
1767717767.727980,112.650154,0.612205,0.649916,-0.002228,0.022871,-0.043061
1767717767.883569,112.910690,0.590640,0.720119,0.016544,0.010120,-0.045194
1767717768.022829,113.195511,0.583572,0.692758,0.011237,0.008422,-0.046922
1767717768.165415,113.361176,0.602370,0.764886,0.012261,0.018368,-0.041932
1767717768.319028,113.677711,0.626960,0.723138,0.023080,0.018993,-0.010568
1767717768.467710,113.772156,0.606146,0.666523,0.026482,0.028058,0.004277
1767717768.605762,114.070328,0.614687,0.699466,0.028928,0.035163,0.004964
1767717768.745658,114.214905,0.619300,0.818577,0.018662,0.031195,0.002511
1767717768.881966,114.513847,0.640967,0.816942,0.019983,0.017311,0.015501
1767717769.023132,114.643372,0.635617,0.688795,0.018028,0.017563,0.013321
1767717769.176532,114.770630,0.649471,0.740201,0.008665,0.027832,0.006864
1767717769.325090,115.096939,0.659637,0.711949,0.003148,0.025618,-0.000920
1767717769.464478,115.233856,0.685937,0.796142,-0.000163,0.021303,0.001026
1767717769.605070,115.531120,0.678796,0.773012,-0.011582,0.015772,-0.001440
1767717769.747430,115.656708,0.692515,0.751680,-0.007989,0.021409,-0.002541
1767717769.891278,115.875603,0.683346,0.673859,-0.018060,0.037908,-0.011067
1767717770.023559,116.177193,0.704721,0.734300,-0.017233,0.034605,-0.016269
1767717770.157837,116.317810,0.692271,0.774743,-0.002091,0.035628,-0.013090
1767717770.281690,116.418785,0.696692,0.776961,-0.008807,0.017647,-0.014541
1767717770.409235,116.661072,0.698654,0.769666,-0.006173,0.010462,-0.013452
1767717770.542957,116.838249,0.700089,0.761370,-0.009143,0.022843,-0.014814
1767717770.674365,116.954216,0.700124,0.746712,-0.001737,0.020812,-0.011567
1767717770.810754,117.274567,0.687201,0.796912,-0.000969,0.031301,-0.030992
1767717770.941635,117.427055,0.704433,0.681045,-0.013780,0.010656,-0.034237
1767717771.068825,117.577744,0.712139,0.739349,-0.009918,0.032328,-0.015962
1767717771.196570,117.846428,0.699458,0.733801,-0.018032,0.023747,-0.017930
1767717771.331157,117.948364,0.719277,0.723926,-0.025305,0.023335,-0.021084
1767717771.468592,118.126755,0.730857,0.747472,-0.024297,0.042379,-0.022338
1767717771.593899,118.266159,0.725756,0.736717,-0.028374,0.025168,-0.027122
1767717771.729255,118.555275,0.727159,0.757766,-0.022720,0.023988,-0.025427
1767717771.860622,118.731956,0.729762,0.742200,-0.024839,0.032441,-0.026105
