"Point Name","X (East)","Y (North)","Z (Elevation)","Z","x_lio","y_lio","z_lio"
"a113","2.096","40.866","0.926","0.926","12.93207422303302","2.9762713696788055","0.9416932048382689"
"a119","2.231","34.896","0.721","0.721","18.868292155757132","3.6561419782575046","0.9261172363145737"
"a131","2.038","16.789","0.375","0.375","36.918567278574216","5.122639792807256","1.165629554434736"
"a135","2.018","10.769","0.283","0.283","42.914897983366366","5.654535445377856","1.2674583005893616"
"a139","2.034","2.274","0.06","0.06","51.37559752899875","6.447691823824281","1.317219308070849"
"a141","2.023","-1.527","-0.017","-0.017","55.16214130456271","6.784855312420129","1.362584687996248"
"a145","2.017","-7.053","-0.131","-0.131","60.66628102888333","7.28494969867423","1.4262988935770837"
"a149","1.986","-13.078","-0.344","-0.344","66.67266928286887","7.804473118627749","1.407575685934637"
"a167","1.957","-36.916","-0.233","-0.233","90.39634551779687","9.968034729096841","2.284840217314073"
"a171","1.938","-42.9","-0.36","-0.36","96.35793506615511","10.497073940229594","2.3505179912556797"
"a175","1.907","-51.316","-0.557","-0.557","104.74342677885275","11.236578694032431","2.424595352048537"
"a177","1.867","-55.136","-0.618","-0.618","108.55099004183498","11.546863060724862","2.4870982333780076"
"a181","1.892","-60.763","-0.803","-0.803","114.15521058486522","12.086001487228115","2.4825307236359806"
"a185","1.883","-66.726","-0.973","-0.973","120.09643521272771","12.622399307845976","2.5043779046127668"
"a189","1.858","-72.732","-1.129","-1.129","126.08144531769949","13.147035949387998","2.5418937377670163"
"a199","1.843","-84.884","-2.184","-2.184","138.21263595226537","14.232481107947859","1.8782849708120688"
